sex,age,day,meal,length,miles,pref,ptysize,food,svc,recmd,bill,tip
male,42,Wednesday,lunch,38,12,booth,3,3,4,yes,32.65,4
other,53,Sunday,dinner,38,18,booth,3,2,2,no,50.1,4
male,34,Friday,lunch,48,16,booth,2,4,4,yes,16.12,2
male,42,Saturday,breakfast,32,7,booth,2,3,3,yes,13.85,1
male,26,Monday,lunch,43,17,booth,4,4,4,yes,41.6,5
female,52,Wednesday,lunch,40,15,booth,2,3,3,yes,22.32,2
female,50,Wednesday,breakfast,28,11,booth,2,3,3,yes,12.41,1
female,65,Tuesday,lunch,44,9,booth,2,5,4,yes,18.71,1
male,42,Thursday,breakfast,34,10,booth,3,3,3,yes,13.03,1
male,31,Saturday,dinner,43,13,table,3,2,3,yes,37.88,6
male,29,Monday,breakfast,29,8,table,1,5,5,yes,3.51,1
male,44,Thursday,other,18,12,booth,2,2,3,yes,13.61,1
male,41,Tuesday,lunch,38,12,booth,4,4,3,yes,42.96,5
female,29,Tuesday,lunch,45,18,booth,1,4,4,yes,8.66,1
male,38,Thursday,breakfast,31,6,table,2,3,2,no,7.45,1
female,39,Saturday,dinner,46,11,booth,4,2,2,no,57.48,9
female,55,Thursday,other,22,24,table,3,2,2,no,17.17,1
female,36,Friday,breakfast,31,12,table,3,3,3,yes,14.85,1
female,38,Sunday,lunch,34,18,booth,4,2,1,no,52.42,6
female,47,Wednesday,lunch,43,8,booth,2,5,4,yes,20.71,3
female,68,Tuesday,lunch,43,9,table,1,4,3,yes,9.34,1
male,39,Tuesday,breakfast,30,9,booth,2,4,4,yes,6.16,1
female,49,Tuesday,other,17,16,booth,1,3,3,yes,6.2,1
male,32,Friday,breakfast,28,20,booth,3,2,2,no,14.95,1
male,49,Wednesday,breakfast,31,22,table,2,1,1,no,13.27,1
female,54,Wednesday,lunch,39,16,table,2,2,2,no,19.83,1
other,43,Thursday,breakfast,29,22,booth,2,5,4,yes,6.72,1
female,32,Sunday,dinner,35,6,table,2,3,4,yes,30.76,5
male,30,Monday,lunch,42,12,booth,4,4,4,yes,29.38,3
female,24,Monday,lunch,40,8,table,4,4,4,yes,33.61,4
female,26,Wednesday,dinner,52,14,booth,4,5,5,yes,62.26,10
male,37,Thursday,lunch,34,6,table,3,1,2,no,29.71,3
female,54,Friday,dinner,42,11,table,6,2,1,no,103.47,8
male,36,Wednesday,lunch,34,14,booth,3,5,4,yes,35.15,4
female,35,Friday,lunch,45,10,booth,2,5,4,yes,20.66,3
male,24,Tuesday,breakfast,26,14,booth,4,5,4,yes,25.92,2
