,1990,1980,1970,1960,1950,1940,1930,1920,1910,1900

United States,248709873,226545805,203211926,179323175,151325798,132164569,123202624,106021537,92228496,76212168
Arizona,3665228,2718215,1770900,1302161,749587,499261,435573,334162,204354,122931
Apache County,61591,52108,32298,30438,27767,24095,17765,13196,9196,8297
Cochise County,97624,85686,61910,55039,31488,34627,40998,46465,34591,9251
Coconino County,96591,75008,48326,41857,23910,18770,14064,9982,8130,5514
Gila County,40216,37080,29255,25745,24158,23867,31016,25678,16348,4973
Graham County,26554,22862,16578,14045,12985,12113,10373,10148,23999,14162
Greenlee County,8008,11406,10330,11509,12805,8698,9886,15362,-,-
La Paz County,13844,-,-,-,-,-,-,-,-,-
Maricopa County,2122101,1509052,967522,663510,331770,186193,150970,89576,34488,20457
Mohave County,93497,55865,25857,7736,8510,8591,5572,5259,3773,3426
Navajo County,77658,67629,47715,37994,29446,25309,21202,16077,11471,8829
Pima County,666880,531443,351667,265660,141216,72838,55676,34680,22818,14689
Pinal County,116379,90918,67916,62673,43191,28841,22081,16130,9045,7779
Santa Cruz County,29676,20459,13966,10808,9344,9482,9684,12689,6766,4545
Yavapai County,107714,68145,36733,28912,24991,26511,28470,24016,15996,13799
Yuma County,106895,90554,60827,46235,28006,19326,17816,14904,7733,4145
