sex,age,day,meal,length,miles,pref,ptysize,food,svc,recmd,bill,tip
other,30,Wednesday,breakfast,29,7,booth,2,3,3,yes,12.25,1
female,39,Friday,breakfast,28,7,table,2,3,2,no,8.36,1
male,22,Tuesday,other,21,19,booth,2,4,5,yes,6.5,1
male,40,Saturday,dinner,46,16,table,5,2,3,yes,84.13,13
male,26,Wednesday,dinner,43,7,table,6,4,4,yes,95.15,15
female,24,Saturday,dinner,50,8,table,6,5,5,yes,77.54,12
male,40,Friday,dinner,42,14,booth,4,5,5,yes,59.79,9
female,39,Monday,lunch,35,10,booth,2,4,4,yes,18.85,2
female,34,Thursday,lunch,40,14,table,3,1,2,no,21.09,3
female,40,Thursday,other,22,18,booth,1,2,3,yes,5.2,1
male,50,Thursday,lunch,39,7,table,5,3,3,yes,61.59,7
female,50,Saturday,dinner,43,19,table,3,3,3,yes,36.67,6
female,56,Friday,lunch,42,25,table,2,5,5,yes,24.38,2
male,40,Wednesday,breakfast,29,19,table,1,4,3,yes,3.16,1
male,48,Saturday,dinner,40,16,booth,3,2,2,no,45.38,7
male,35,Thursday,dinner,45,10,table,6,4,4,yes,89.04,14
male,42,Friday,lunch,36,16,booth,4,1,1,no,56.28,6
male,42,Monday,breakfast,31,22,booth,2,2,3,yes,9.96,1
male,39,Saturday,dinner,48,19,table,2,1,2,no,22.24,4
female,53,Monday,other,18,22,table,1,3,3,yes,5.35,1
male,38,Saturday,dinner,49,21,booth,3,3,3,yes,50.13,8
female,35,Wednesday,lunch,36,23,booth,3,3,3,yes,43.81,5
male,43,Sunday,dinner,46,10,table,5,4,4,yes,86.94,14
male,40,Thursday,lunch,42,25,booth,3,2,3,yes,30.51,4
male,51,Wednesday,other,22,25,table,3,1,2,no,14.21,1
female,53,Tuesday,dinner,46,21,table,6,3,2,no,77.14,6
female,63,Sunday,dinner,44,14,table,8,5,5,yes,121.61,10
female,28,Friday,lunch,40,15,booth,1,5,5,yes,8.07,1
female,41,Thursday,breakfast,30,11,table,1,2,3,yes,3.32,1
female,31,Wednesday,lunch,42,15,booth,2,2,2,no,18.24,2
male,33,Saturday,dinner,49,19,booth,3,4,5,yes,43.75,7
male,43,Monday,lunch,40,14,booth,4,2,2,no,41.35,5
female,51,Thursday,dinner,50,23,table,5,3,2,no,98.91,8
male,39,Thursday,breakfast,33,14,table,2,5,4,yes,6.87,1
female,42,Thursday,lunch,36,25,table,4,2,2,no,47.34,5
male,66,Tuesday,lunch,45,22,table,2,3,4,yes,18.71,1
male,21,Saturday,dinner,56,23,table,7,5,5,yes,99.23,15
male,47,Friday,dinner,47,15,table,4,2,3,yes,59.99,9
female,44,Thursday,other,16,24,booth,1,1,1,no,3.15,1
male,24,Saturday,dinner,38,12,booth,4,4,4,yes,63.31,10
male,53,Tuesday,lunch,35,19,table,3,5,5,yes,30.49,2
female,44,Thursday,dinner,46,12,table,4,5,4,yes,66.04,10
male,31,Thursday,lunch,38,19,table,2,5,5,yes,23.74,3
female,57,Sunday,dinner,42,24,booth,4,1,2,no,58.34,5
other,51,Saturday,dinner,44,16,table,3,2,2,no,35.29,3
female,51,Friday,dinner,35,13,table,6,4,5,yes,111.31,9
male,36,Thursday,lunch,41,6,table,2,2,3,yes,19.92,2
female,43,Saturday,dinner,44,22,table,3,4,3,yes,42.53,7
female,50,Sunday,breakfast,30,16,booth,1,5,5,yes,4.22,1
female,36,Tuesday,breakfast,30,13,booth,2,1,2,no,7.05,1
female,49,Monday,lunch,41,9,booth,4,1,2,no,51.39,6
male,34,Wednesday,breakfast,33,18,table,4,3,3,yes,16.85,1
female,36,Thursday,breakfast,28,10,booth,1,5,5,yes,5.46,1
female,34,Tuesday,breakfast,31,16,booth,4,4,3,yes,18.47,1
male,41,Wednesday,lunch,35,24,booth,2,3,3,yes,28.37,3
male,60,Sunday,dinner,42,9,table,3,4,4,yes,45.5,4
female,53,Thursday,lunch,36,17,table,1,2,3,yes,11.89,1
male,54,Tuesday,other,21,24,table,2,1,1,no,8.24,1
male,31,Wednesday,lunch,36,299,booth,2,4,3,yes,20.87,3
male,55,Thursday,lunch,46,21,booth,2,2,2,no,24.13,2
female,28,Monday,lunch,43,17,booth,2,5,4,yes,18.92,2
female,35,Thursday,lunch,34,11,table,4,3,4,yes,49.5,5
male,59,Friday,dinner,43,17,table,5,5,4,yes,89.9,7
female,22,Wednesday,lunch,37,11,table,4,4,4,yes,28.95,3
female,27,Thursday,lunch,37,22,booth,3,5,5,yes,21.33,3
female,26,Thursday,dinner,45,13,booth,3,4,4,yes,48.39,8
female,32,Tuesday,lunch,38,17,table,3,2,2,no,22.98,3
male,46,Wednesday,lunch,42,19,booth,2,4,4,yes,20.94,3
male,47,Wednesday,lunch,46,12,booth,3,5,4,yes,29.86,3
male,51,Sunday,dinner,45,9,table,5,3,4,yes,81.23,7
male,52,Sunday,dinner,48,15,table,5,2,2,no,53.95,5
female,38,Friday,lunch,35,17,booth,4,3,3,yes,51.53,6
female,28,Friday,lunch,41,16,booth,4,5,4,yes,51.67,6
female,51,Thursday,lunch,33,9,booth,2,4,4,yes,22.01,2
male,24,Monday,lunch,43,19,booth,2,5,5,yes,22.24,3
female,28,Wednesday,lunch,38,18,booth,3,5,5,yes,30.33,4
male,38,Thursday,breakfast,30,6,table,4,4,4,yes,19.6,1
female,36,Thursday,lunch,41,18,booth,2,4,4,yes,21.02,3
male,42,Monday,lunch,44,13,booth,3,5,5,yes,21.76,3
female,24,Wednesday,lunch,41,12,table,3,4,4,yes,35.67,4
other,38,Thursday,lunch,42,11,table,4,4,3,yes,34.15,4
other,57,Tuesday,breakfast,28,15,table,4,4,4,yes,17.5,1
male,43,Saturday,dinner,46,20,table,2,3,4,yes,30.33,5
other,47,Wednesday,lunch,39,5,booth,2,3,2,no,16.52,2
male,49,Wednesday,lunch,41,11,booth,3,3,3,yes,24.07,3
female,28,Friday,lunch,39,10,table,4,5,5,yes,36.82,4
female,32,Wednesday,lunch,32,9,booth,2,4,4,yes,18.96,2
male,41,Saturday,dinner,50,7,booth,3,2,2,no,41.24,7
male,61,Friday,other,20,24,table,1,2,2,no,4.59,1
male,44,Thursday,breakfast,31,16,booth,1,4,3,yes,3.31,1
female,65,Saturday,dinner,38,6,table,3,4,4,yes,46.62,4
other,54,Monday,other,20,12,table,1,5,5,yes,3.77,1
male,30,Friday,lunch,42,9,booth,2,2,3,yes,20.23,3
male,42,Tuesday,other,22,15,booth,2,3,3,yes,10.08,1
female,52,Friday,dinner,34,8,booth,2,3,3,yes,30.89,3
female,53,Wednesday,lunch,39,7,booth,2,4,4,yes,20.79,2
female,33,Friday,lunch,36,11,booth,2,5,4,yes,26.58,3
